file_name,composer,editor,ficta_factor,ficta_bins
CRIM_Mass_0007_2.mei,Nicolas Gombert,Vincent Besson,0.009446693657219974,low
CRIM_Mass_0007_3.mei,Nicolas Gombert,Vincent Besson,0.008102955195424213,low
CRIM_Mass_0007_4.mei,Nicolas Gombert,Vincent Besson,0.013227513227513227,low
CRIM_Mass_0007_5.mei,Nicolas Gombert,Vincent Besson,0.008602150537634409,low
CRIM_Mass_0008_1.mei,Claudin de Sermisy,Vincent Besson,0.005988023952095809,low
CRIM_Mass_0008_2.mei,Claudin de Sermisy,Vincent Besson,0.008252063015753939,low
CRIM_Mass_0008_3.mei,Claudin de Sermisy,Vincent Besson,0.00854295206454675,low
CRIM_Mass_0008_4.mei,Claudin de Sermisy,Vincent Besson,0.02033271719038817,low
CRIM_Mass_0008_5.mei,Claudin de Sermisy,Vincent Besson,0.007086614173228346,low
CRIM_Mass_0009_1.mei,Claudin de Sermisy,Vincent Besson,0.02952029520295203,medium
CRIM_Mass_0009_2.mei,Claudin de Sermisy,Vincent Besson,0.025293586269196026,medium
CRIM_Mass_0009_3.mei,Claudin de Sermisy,Vincent Besson,0.02831672784478238,medium
CRIM_Mass_0009_4.mei,Claudin de Sermisy,Vincent Besson,0.03553299492385787,medium
CRIM_Mass_0009_5.mei,Claudin de Sermisy,Vincent Besson,0.02528735632183908,medium
CRIM_Mass_0010_1.mei,Claudin de Sermisy,Vincent Besson,0.03485254691689008,medium
CRIM_Mass_0010_2.mei,Claudin de Sermisy,Vincent Besson,0.024083769633507852,low
CRIM_Mass_0010_3.mei,Claudin de Sermisy,Vincent Besson,0.01665709362435382,low
CRIM_Mass_0010_4.mei,Claudin de Sermisy,Vincent Besson,0.015315315315315315,low
CRIM_Mass_0010_5.mei,Claudin de Sermisy,Vincent Besson,0.025665399239543727,medium
CRIM_Mass_0011_1.mei,Pierre Daulphin,Vincent Besson,0.029891304347826088,medium
CRIM_Mass_0011_2.mei,Pierre Daulphin,Vincent Besson,0.020608439646712464,low
CRIM_Mass_0011_3.mei,Pierre Daulphin,Vincent Besson,0.024595924104005622,low
CRIM_Mass_0011_4.mei,Pierre Daulphin,Vincent Besson,0.03480278422273782,medium
CRIM_Mass_0011_5.mei,Pierre Daulphin,Vincent Besson,0.034764826175869123,medium
CRIM_Mass_0012_1.mei,Dominique Phinot,Vincent Besson,0.02321083172147002,low
CRIM_Mass_0012_2.mei,Dominique Phinot,Vincent Besson,0.026495079485238455,medium
CRIM_Mass_0012_3.mei,Dominique Phinot,Vincent Besson,0.0,low
CRIM_Mass_0012_4.mei,Dominique Phinot,Vincent Besson,0.03316062176165803,medium
CRIM_Mass_0012_5.mei,Dominique Phinot,Vincent Besson,0.05860805860805861,high
CRIM_Mass_0013_1.mei,Pierre de Manchicourt,Vincent Besson,0.0564042303172738,high
CRIM_Mass_0013_2.mei,Pierre de Manchicourt,Vincent Besson,0.01820388349514563,low
CRIM_Mass_0013_3.mei,Pierre de Manchicourt,Vincent Besson,0.027436527436527438,medium
CRIM_Mass_0013_4.mei,Pierre de Manchicourt,Vincent Besson,0.021488871834228703,low
CRIM_Mass_0013_5.mei,Pierre de Manchicourt,Vincent Besson,0.021775544388609715,low
CRIM_Mass_0014_1.mei,Antoine de Févin,Vincent Besson,0.025933609958506226,medium
CRIM_Mass_0014_2.mei,Antoine de Févin,Vincent Besson,0.027169811320754716,medium
CRIM_Mass_0014_3.mei,Antoine de Févin,Vincent Besson,0.027641551493535442,medium
CRIM_Mass_0014_4.mei,Antoine de Févin,Vincent Besson,0.03213957759412305,medium
CRIM_Mass_0014_5.mei,Antoine de Févin,Vincent Besson,0.028511087645195353,medium
CRIM_Mass_0015_1.mei,Giovanni Pierluigi da Palestrina,Vincent Besson,0.01443001443001443,low
CRIM_Mass_0015_2.mei,Giovanni Pierluigi da Palestrina,Vincent Besson,0.015895278167367927,low
CRIM_Mass_0015_3.mei,Giovanni Pierluigi da Palestrina,Vincent Besson,0.01655426118945432,low
CRIM_Mass_0015_4.mei,Giovanni Pierluigi da Palestrina,Vincent Besson,0.016917293233082706,low
CRIM_Mass_0015_5.mei,Giovanni Pierluigi da Palestrina,Vincent Besson,0.02129277566539924,low
CRIM_Mass_0016_1.mei,Adrian Willaert,Vincent Besson,0.015071590052750565,low
CRIM_Mass_0016_2.mei,Adrian Willaert,Vincent Besson,0.015710919088766692,low
CRIM_Mass_0016_3.mei,Adrian Willaert,Vincent Besson,0.010872941907424665,low
