year,album,song,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,,duration_ms,time_signature
1963,Please Please Me,Love Me Do,0.52,0.829,0,-6.228,1,0.0806,0.386,0.000062,0.227,0.744,147.997,https://open.spotify.com/track/3VbGCXWRiouAq8VyMYN2MI,141693,4
1966,Revolver,Love You To,0.391,0.593,5,-8.999,1,0.0413,0.7,0.000249,0.0829,0.707,123.986,https://open.spotify.com/track/4RdJFhfLQcezwN5LsXl4qP,179827,4
1967,Sgt. Pepper's Lonely Hearts Club Band,Lovely Rita,0.61,0.471,8,-9.151,0,0.0261,0.0634,0,0.118,0.63,87.379,https://open.spotify.com/track/6h9W5FxX4E9lUFsyq8j1AD,162093,4
1967,Sgt. Pepper's Lonely Hearts Club Band,Lucy in the Sky with Diamonds,0.311,0.325,2,-9.042,1,2.83E-02,0.0469,0,0.139,0.668,65.09,https://open.spotify.com/track/25yQPHgC35WNnnOUqFhgVR,208467,1
1970,Let It Be,Maggie Mae,0.516,0.515,2,-12.035,0,2.15E-01,0.379,0,0.103,0.524,169.039,https://open.spotify.com/track/2VsX1BoWSGiuVXGiFSUr6h,40040,4
1967,Magical Mystery Tour,Magical Mystery Tour,0.297,0.613,9,-9.065,1,0.0931,0.0385,0.0000398,0.0734,0.338,170.962,https://open.spotify.com/track/0qHMhBZqYb99yhX9BHcIkV,170107,4
1969,Yellow Submarine,march of the meanies,0.538,0.378,9,-14.117,0,3.87E-02,0.934,0.758,0.456,0.16,117.185,https://open.spotify.com/track/7zJKIrxcH2jY4TOqpvoLvH,139360,4
1968,The Beatles (white album),Martha My Dear,0.472,0.292,10,-11.591,1,0.0321,0.872,0.0007,0.128,0.824,177.624,https://open.spotify.com/track/1swmf4hFMJYRNA8Rq9PVaW,148573,4
1969,Abbey Road,Maxwell's Silver Hammer,0.764,0.426,2,-11.045,1,0.0405,0.629,0.000119,0.132,0.726,131.12,https://open.spotify.com/track/2S8xyNRJX1XQdo3qnTuovI,207920,4
1969,Abbey Road,Mean Mr. Mustard,0.676,0.596,4,-9.107,1,0.0272,0.0699,0.0000196,0.351,0.97,100.687,https://open.spotify.com/track/4JOyMhad5dD81uGYLGgKrS,66533,4
1965,Rubber Soul,Michelle,0.578,0.29,5,-12.501,0,3.41E-02,0.652,0,0.105,0.666,117.403,https://open.spotify.com/track/5By7Pzgl6TMuVJG168VWzS,162373,4
1963,Please Please Me,Misery,0.591,0.605,0,-10.925,1,0.0413,0.707,0,0.309,0.882,133.348,https://open.spotify.com/track/40qXGg5nRbcWzcFb26KWkQ,108547,4
1963,With The Beatles,Money (That's What I Want),0.545,0.853,11,-8.369,0,0.0394,0.425,0,0.266,0.923,128.816,https://open.spotify.com/track/3zw4FTrVNfy2teEkV9FOvh,169507,1
1968,The Beatles (white album),Mother Nature's Son,0.608,0.178,2,-17.109,1,0.0264,0.634,0.352,0.166,0.401,84.78,https://open.spotify.com/track/6TjUg1cTUzWHbal6yQAi7c,168027,4
1964,Beatles for Sale,Mr. Moonlight,0.631,0.424,6,-9.106,1,0.0438,0.796,0.000143,0.118,0.589,126.127,https://open.spotify.com/track/6pPOkr2OxhQ6htrzOiDmq9,158627,5
1964,Beatles for Sale,No Reply,0.718,0.593,0,-9.976,1,0.0377,0.67,0,0.172,0.869,124.251,https://open.spotify.com/track/4ltC6PrqkTtpcRNi5lvS4z,136067,4
1965,Rubber Soul,Norwegian Wood (This Bird Has Flown),0.425,0.369,4,-11.876,1,0.0379,0.183,0.00126,0.112,0.65,176.625,https://open.spotify.com/track/1H7gMYGykdtwZOV6s1N0by,124693,3
1963,With The Beatles,Not a Second Time,0.471,0.817,7,-9.999,1,0.0372,0.213,0,0.498,0.961,124.848,https://open.spotify.com/track/5vl0sRtrQM1BTSAxQZFqEN,126827,4
1965,Rubber Soul,Nowhere Man,0.534,0.624,4,-9.589,1,4.62E-02,0.00797,0,0.128,0.687,121.402,https://open.spotify.com/track/5SUlhldQJtOhUr2GzH5RI7,163693,4
1968,The Beatles (white album),"Ob-La-Di, Ob-La-Da",0.818,0.728,10,-8.331,1,0.0314,0.232,0.0642,0.251,0.975,113.059,https://open.spotify.com/track/1gFNm7cXfG1vSMcxPpSxec,188960,4
1969,Abbey Road,Octopus's Garden,0.626,0.512,1,-9.15,0,0.0247,0.155,0.0000465,0.215,0.73,92.225,https://open.spotify.com/track/0suLngfo7rJoetk7Ub6N8l,170720,4
1969,Abbey Road,Oh! Darling,0.422,0.656,4,-8.412,1,0.0397,0.0126,0.0279,0.268,0.549,173.93,https://open.spotify.com/track/2mxByJWOajjiVsLWjNXvDJ,207240,3
1970,Let It Be,One After 909,0.554,0.828,4,-6.435,1,0.0739,0.0307,0,0.907,0.888,90.95,https://open.spotify.com/track/50qHmeex1nPTyQTwBXjSE4,173960,4
1969,Yellow Submarine,Only a Northern Song,0.175,0.731,9,-8.341,1,7.05E-02,0.000341,0.000751,0.0846,0.801,"209.242,",https://open.spotify.com/track/4phXWLTSlC1BEogSWhJMDD,204493,4
1963,Please Please Me,P.S. I Love You,0.635,0.656,2,-8.5,1,0.0291,0.389,0.00127,0.0828,0.77,134.435,https://open.spotify.com/track/7Msq9qojB7yORuJvz49iUy,124360,4
1967,Magical Mystery Tour,Penny Lane,0.651,0.488,9,-8.22,1,0.0316,0.212,0.026,0.136,0.49,113.038,https://open.spotify.com/track/1h04XMpzGzmAudoI6VHBgA,180893,4
1969,Yellow Submarine,pepperland,0.354,0.281,7,-12.434,1,0.032,0.661,0.763,0.243,0.367,113.126,https://open.spotify.com/track/1y8kq7M3tBw4zAttsZMya8,140733,4
1969,Yellow Submarine,pepperland laid waste,0.269,0.0902,8,-23.018,0,0.042,0.877,0.821,0.302,0.0462,82.423,https://open.spotify.com/track/0rHHNFcUgB0zlzCk4MVluw,132773,4
1968,The Beatles (white album),Piggies,0.542,0.445,8,-9.105,1,0.0303,0.643,0,0.516,0.52,93.245,https://open.spotify.com/track/4ZmjfLdJXbqjAENqk7eWSE,124267,4
1963,With The Beatles,Please Mr. Postman,0.552,0.644,9,-9.129,1,0.0372,0.675,0,0.36,0.961,122.546,https://open.spotify.com/track/6wfK1R6FoLpmUA9lk5ll4T,154160,4
1963,Please Please Me,Please Please Me,0.527,0.48,4,-9.61,1,0.028,0.334,0,0.0702,0.706,139.388,https://open.spotify.com/track/6EHuOufBeL6vk3TvVJB5qo,120853,4
1969,Abbey Road,Polythene Pam,0.474,0.939,11,-8.884,0,0.199,0.00472,0.674,0.19,0.499,166.829,https://open.spotify.com/track/1FTCA6wQwulQFokDddKE68,72640,4
1968,The Beatles (white album),Revolution 1,0.386,0.626,9,-9.451,1,3.77E-02,0.0785,0.00164,0.621,0.695,98.425,https://open.spotify.com/track/1aOzDhi5a1RWWRy5dmYA8I,255707,4
1968,The Beatles (white album),Revolution 9,0.208,0.615,2,-15.297,0,0.342,0.769,0.118,0.824,0.101,91.158,https://open.spotify.com/track/5dZ8PeKKZJLIQAWNTdp8WX,502013,4
