,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity,playlist_name
3,Sam Coury,wish.,wish.,3eozmuyjtrhpaitBmd1LcE,0.618,0.375,11,-13.285,0,0.0417,3.93e-06,0.161,0.447,142.016,331311,4,4.0,"M255 ""Monday Midnight Drive"""
4,Tash Sultana,Flow State,Cigarettes,4eFTvwsYlTC0b0fjqxmrx7,0.563,0.755,11,-5.048,0,0.248,7.59e-05,0.0562,0.576,158.027,322716,4,47.0,"M255 ""Monday Midnight Drive"""
5,Sam Coury,run!,run!,3baLS9Kc4MdhcnhWh4hDDm,0.593,0.513,4,-14.934,1,0.0356,5.93e-05,0.074,0.65,149.967,252578,4,7.0,"M255 ""Monday Midnight Drive"""
6,High Highs,Cascades,Ocean to City,3lM46J2IddE8ihX7e39w7H,0.555,0.77,4,-7.241,1,0.0265,0.318,0.223,0.321,131.921,271667,4,21.0,"M255 ""Monday Midnight Drive"""
7,Magic Man,Before the Waves,Paris,4EaO2XR7gWaHq8DW7nu1iY,0.472,0.881,2,-5.252,1,0.0524,0.0,0.0698,0.502,178.858,232747,4,53.0,"M255 ""Monday Midnight Drive"""
8,Digital Farm Animals,Tokyo Nights,Tokyo Nights,3TxKtkCNR1yQARsvHxvNnP,0.556,0.671,11,-6.366,0,0.0647,0.000377,0.111,0.252,105.057,243536,4,52.0,"M255 ""Monday Midnight Drive"""
9,M83,"Hurry Up, We're Dreaming",Midnight City,1eyzqe2QqGZUmfcPZtrIyt,0.526,0.712,11,-6.525,0,0.0356,0.0,0.179,0.32,105.009,241440,4,72.0,"M255 ""Monday Midnight Drive"""
10,Le Youth,Waves,Waves - OCULA Remix,3IeLJ5OLr0tCHsr7SDnfi8,0.738,0.666,5,-10.046,0,0.0377,0.918,0.107,0.0676,120.002,244000,4,40.0,"M255 ""Monday Midnight Drive"""
11,Lane 8,Little by Little,Stir Me Up,2G3j7EHedVdb4ZEpJpkS5W,0.562,0.555,5,-10.461,1,0.0319,0.533,0.129,0.118,93.979,296170,4,44.0,"M255 ""Monday Midnight Drive"""
12,Sultan + Shepard,"Something, Everything",Naama,2CFGJOKqK7pOdGN4Ujg0Ea,0.626,0.697,10,-8.689,0,0.0398,0.58,0.111,0.0537,119.961,332250,4,46.0,"M255 ""Monday Midnight Drive"""
13,Le Youth,Reminders,Feel Around You,7nWvuyjrcLK2QnWAwXBfnv,0.582,0.433,0,-12.391,1,0.0382,0.0729,0.114,0.128,119.923,389020,4,42.0,"M255 ""Monday Midnight Drive"""
14,SYML,Clean Eyes (The Midnight Remix),Clean Eyes - The Midnight Remix,5OwQwWZwwlRFRejqWPCQnu,0.633,0.715,7,-9.102,1,0.0438,0.0578,0.332,0.351,87.006,232738,4,44.0,"M255 ""Monday Midnight Drive"""
0,Etta James,Tell Mama,I'd Rather Go Blind,1kPBT8S2wJFNAyBMnGVZgL,0.477,0.433,11,-6.473,0,0.0247,0.000195,0.151,0.611,82.52,156653,3,71.0,My subset of 10 from Freedman's 40
1,Leonard Cohen,Songs From A Room,Bird on the Wire,3M0QK0bYdiGMu6JNoPk8YG,0.402,0.114,9,-15.691,1,0.0321,0.0024,0.318,0.191,128.332,206373,3,51.0,My subset of 10 from Freedman's 40
2,Bill Withers,Just As I Am,Ain't No Sunshine,1k1Bqnv2R0uJXQN4u6LKYt,0.527,0.415,4,-11.451,0,0.122,1.72e-05,0.117,0.515,78.169,125093,4,79.0,My subset of 10 from Freedman's 40
3,Smokey Robinson & The Miracles,Going To A Go-Go,The Tracks Of My Tears,6QyQmdvQ1ywNccYa0pwLNQ,0.502,0.333,7,-10.914,1,0.0264,0.0,0.222,0.729,96.982,174360,4,64.0,My subset of 10 from Freedman's 40
4,B.B. King,Completely Well,The Thrill Is Gone,4NQfrmGs9iQXVQI9IpRhjM,0.547,0.46,11,-8.759,0,0.0256,0.442,0.0983,0.543,90.768,324733,4,63.0,My subset of 10 from Freedman's 40
5,The Who,Who's Next (Deluxe Edition),Behind Blue Eyes,0cKk8BKEi7zXbdrYdyqBP5,0.394,0.622,4,-8.258,0,0.0336,4.45e-05,0.0892,0.342,126.844,221427,4,72.0,My subset of 10 from Freedman's 40
6,Jimmy Cliff,"Wonderful World, Beautiful People",Many Rivers To Cross,1dZxI6OuzwJ283y3gOU1Kq,0.399,0.212,5,-16.03,1,0.0747,0.000434,0.116,0.149,137.76,164067,4,51.0,My subset of 10 from Freedman's 40
7,Ben E. King,Stand By Me,Stand By Me,2KQM3kDM0zMBC9iynePBbS,0.653,0.334,9,-6.955,1,0.0313,3.47e-05,0.123,0.665,119.46,174253,4,59.0,My subset of 10 from Freedman's 40
8,Wilson Pickett,Hey Jude,Hey Jude,1MMp1H2Kib2BCDtdL5nL63,0.561,0.385,6,-15.33,1,0.0323,0.000496,0.171,0.664,81.599,247733,4,54.0,My subset of 10 from Freedman's 40
9,The Rolling Stones,Let It Bleed,You Can't Always Get What You Want,6lFZbCc7pn6Lme1NP7qQqQ,0.32,0.62,0,-9.686,1,0.0594,6.36e-05,0.253,0.472,86.327,448720,4,69.0,My subset of 10 from Freedman's 40
0,Radiohead,Pablo Honey,Creep,70LcF31zb1H0PyJoS1Sx1r,0.515,0.43,7,-9.935,1,0.0372,0.000133,0.129,0.104,91.844,238640,4,86.0,POV: You Just Discovered Popular Music Older than You and are Making it Your Entire Personality
1,Queen,Stone Cold Classics,Bohemian Rhapsody,6l8GvAyoUZwWDgF1e4822w,0.397,0.386,0,-10.405,0,0.0503,0.0,0.188,0.21,144.242,355400,4,68.0,POV: You Just Discovered Popular Music Older than You and are Making it Your Entire Personality
2,Eagles,Hotel California (2013 Remaster),Hotel California - 2013 Remaster,40riOy7x9W7GXjyGp4pjAv,0.579,0.508,2,-9.484,1,0.027,0.000494,0.0575,0.609,147.125,391376,4,85.0,POV: You Just Discovered Popular Music Older than You and are Making it Your Entire Personality
3,Led Zeppelin,Led Zeppelin IV (Deluxe Edition),Stairway to Heaven - Remaster,5CQ30WqJwcep0pYcV4AMNc,0.338,0.34,9,-12.049,0,0.0339,0.0032,0.116,0.197,82.433,482830,4,80.0,POV: You Just Discovered Popular Music Older than You and are Making it Your Entire Personality
4,Nirvana,Nevermind (Remastered),Smells Like Teen Spirit,5ghIJDpPoe3CfHMGu71E6T,0.502,0.912,1,-4.556,1,0.0564,0.000173,0.106,0.72,116.761,301920,4,80.0,POV: You Just Discovered Popular Music Older than You and are Making it Your Entire Personality
5,Elton John,Honky Chateau,"Rocket Man (I Think It's Going To Be A Long, Long Time)",3gdewACMIVMEWVbyb8O9sY,0.601,0.532,10,-9.119,1,0.0286,6.25e-06,0.0925,0.341,136.571,281613,4,82.0,POV: You Just Discovered Popular Music Older than You and are Making it Your Entire Personality
6,David Bowie,Best of Bowie,Space Oddity - 1999 Remaster,22yy03IdKXGRUFMQX8EfBv,0.31,0.423,0,-12.902,1,0.0324,1.35e-05,0.365,0.457,136.205,316333,4,38.0,POV: You Just Discovered Popular Music Older than You and are Making it Your Entire Personality
7,Electric Light Orchestra,Out of the Blue,Mr. Blue Sky,2RlgNHKcydI9sayD2Df2xp,0.388,0.338,10,-10.054,1,0.0329,3.73e-06,0.248,0.478,177.765,303373,4,81.0,POV: You Just Discovered Popular Music Older than You and are Making it Your Entire Personality
