ac,name
4476,"['pedagogy--general' 'music industry education' 'college and university'
 'film sound pedagogy' 'soundwalking' 'film and video'
 'Westerkamp, Hildegard' 'writings' 'ecology' 'acoustic ecology'
 'applied to film sound']"
4592,"['foundations' 'David Suzuki Foundation' '<Playlist for the planet>'
 'Canada' 'popular music' 'environmentalism' 'popular music--by place'
 'sound recordings--by place' 'relation to environmentalism' 'ecology'
 'ecocriticism' 'pedagogy--by place' 'environmental education'
 'music industry' 'aesthetics' 'authenticity' 'careers' 'musician'
 'environment' 'popular music--general' 'politics'
 'environmental activism']"
4687,"['Schafer, R. Murray' 'life' 'works' 'pedagogues' 'writings' 'literature'
 'ecology' 'acoustic ecology' 'activities of R. Murray Schafer'
 'soundscape' 'soundscape studies' 'World Soundscape Project'
 'catalogues and indexes--by name' 'discographies']"
4761,"['ecology' 'acoustic ecology' 'Schafer, R. Murray']"
4794,"['ecology' 'acoustic ecology' 'background noise' 'noise' 'noise pollution'
 'mass media' 'broadcasting' 'hearing disorders' 'medicine--by topic'
 'background music' 'advertising and marketing'
 'commercial establishments']"
4863,"['Schafer, R. Murray' 'works' '<And wolf shall inherit the moon>'
 'relation to Canadian identity' 'ecology' 'environmental music theater'
 'identity--collective' 'musical identity' 'Canada' 'dramatic arts'
 'music theater']"
4870,"['Schafer, R. Murray' 'works' '<And wolf shall inherit the moon>'
 'dramatic arts' 'music theater' 'ecology' 'environmental music theater']"
4973,"['creative process' 'Keller, D.' '<The trade/Oro por baratijas>'
 'Capasso, A.' 'mixed media' 'aesthetics' 'visual elements'
 'relation to sonic elements' 'ecology' 'relation to mixed media'
 'perception' 'form' 'relation to Capasso <The trade/Oro por baratijas>']"
5056,"['Titon, Jeff Todd' 'Festschriften' 'ecology' 'cultural ecology'
 'cultural sustainability']"
5057,"['ethnomusicologists' 'Titon, Jeff Todd' 'anecdotes, reminiscences, etc.'
 'relation to cultural sustainability' 'ecology' 'cultural ecology'
 'cultural sustainability']"
5058,"['ecology' 'sustainability' 'relation to cultural sustainability'
 'humanities' 'environmental humanities' 'environment'
 'activism and advocacy' 'relation to Anthropocene']"
5059,"['ecology' 'cultural ecology' 'cultural sustainability'
 'relation to environmental sustainability' 'environment'
 'environmentalism' 'nature vs. culture' 'metaphors'
 'activism and advocacy']"
5060,"['philosophy' 'United States of America' 'pragmatism'
 'relation to folklore studies' 'semiotics' 'semiotics as discipline'
 'linguistics' 'speech genres' 'relation to sustainability' 'ecology'
 'ecological thinking' 'relation to social sciences' 'science'
 'environmental science' 'relation to cultural sustainability']"
5061,"['ecology' 'cultural ecology' 'cultural sustainability'
 'role of critical empathy' 'academic institutions'
 'United States of America' 'Maryland' 'Towson' 'Goucher College'
 'cultural sustainability programs' 'phenomenology' 'environment'
 'relation to cultural sustainability']"
5062,"['ecology' 'sustainability' 'ethics and morals' 'ethnomusicology'
 'ethnomusicology as discipline' 'ecomusicology' 'musicology'
 'musicology as discipline' 'sound studies']"
5063,"['environment' 'Taiwan' 'Taibei' 'garbage-pickup routine' 'role of music'
 'activism and advocacy' 'relation to waste reduction' 'urban studies'
 'ecology' 'sustainability' 'waste reduction' 'popular music--by place']"
5065,"['protest music' 'United States of America' 'Louisiana'
 'relation to environmentalism' 'musical life' 'relation to oil industry'
 'ecology' 'cultural ecology' 'cultural sustainability'
 'relation to environmental sustainability' 'wars and catastrophes'
 'environmental disasters' 'Deepwater Horizon oil spill'
 'influence on Louisiana culture' 'environment'
 'influence on popular music' 'nature' 'coastal wetlands loss']"
5068,"['popular music--general' 'fandom' 'relation to sustainability' 'ecology'
 'sustainability' 'relation to popular music' 'music industry']"
5072,"['Peru' 'Quispillaccta' 'traditional music' 'chimaycha'
 'relation to Andean cultural politics' 'Indigenous peoples--Americas'
 'language' 'Quechuan languages' 'Andean peoples'
 'relation to traditional music' 'ecology' 'cultural ecology'
 'cultural sustainability' 'academic institutions' 'Ayacucho'
 'Universidad Nacional San Cristóbal de Huamanga'
 'relation to Indigenous peoples']"
5073,"['Jewish studies' 'religion and religious music' 'Torah chanting'
 'use of digital technology' 'religion and religious music--Judaism'
 'cultural studies' 'ecology' 'sustainability' 'cultural sustainability'
 'relation to Torah chanting']"
5075,"['Africa' 'Central Africa' 'Baka people' 'culture'
 'role of sustainability' 'ecology' 'sustainability' 'environment'
 'environmentalism' 'sustainable practices' 'relation to Baka people'
 'singing--by place' 'relation to sustainability']"
5076,"['lament' 'Russia' 'cultural sustainability' 'ecology' 'cultural ecology'
 'Russian laments' 'Russian Federation' 'traditional music' 'laments'
 'anatomy and physiology' 'music listening' 'affective response'
 'cardiac response' 'electrocardiography (ECG)' 'listening']"
5077,"['medicine--by topic' 'autism spectrum disorders (ASD)'
 'relation to piano pedagogy' 'adaptive management'
 'instruments--keyboard (piano family)' 'piano pedagogy'
 'concept of resilience' 'relation to autism spectrum disorders (ASD)'
 'ecology' 'sustainability' 'cultural sustainability'
 'role of pedagogical activities']"
5078,"['sociology' 'emplacement' 'Spain' 'Jerez de la Frontera'
 'role of flamenco' 'cultural studies' 'intangible cultural heritage'
 'Romani people' 'relation to flamenco' 'environment' 'economics'
 'ecology' 'sustainability' 'cultural sustainability' 'festivals'
 'Fiesta de la Bulería' 'relation to cultural heritage' 'dance--by place'
 'flamenco' 'relation to cultural sustainability' 'dance--by genre']"
5079,"['Roy, Don' 'life' 'community music schools'
 'relation to cultural sustainability' 'performers--fiddle' 'ecology'
 'sustainability' 'cultural sustainability' 'United States of America'
 'Maine' 'activities of Don Roy']"
5080,"['cultural studies' 'intangible cultural heritage'
 'United States of America' 'Maine'
 'relation to ecological sustainability' 'culture' 'ecology' 'ecosystems'
 'relation to intangible cultural heritage']"
5081,"['postcolonialism' 'ecology' 'cultural sustainability'
 'United States of America' 'Hawaii' 'relation to Indigenous peoples'
 'sports and games' 'surfing' 'Indigenous peoples' 'relation to musicking'
 'sustainability' 'Indigenous peoples--Americas' 'culture']"
5117,"['pedagogy--general' 'sound pedagogy' 'listening' 'ecology'
 'acoustic ecology' 'relation to sound pedagogy' 'Cage, John' 'works'
 'recitation' 'performance art' 'Fluxus' 'scores' 'Neuhaus, Max'
 'works, mixed media' 'soundwalks' 'Schafer, R. Murray' 'writings'
 'ear cleaning' 'Oliveros, Pauline' '<Sonic meditations>']"
5122,"['aesthetics' 'sound art' 'ecological approach' 'mixed media'
 'Højlund, Marie' 'Riis, Morten' 'ecology' 'relation to sound art']"
5255,"['mixed media' 'sound installations' '<Arrhythmia>'
 'concept of horizontal sound ecology' 'ecology' 'sound studies'
 'politics' 'biopolitics' 'relation to mixed media'
 '<Arrhythmia> sound installation' 'Bosch, Peter' 'works, mixed media'
 'Simons, Simone' 'Kostyrko, Sergey']"
5364,"['composition' 'Basanta, A.' 'electronic music' 'semiotics'
 'relation to ecological psychology' 'psychology' 'ecological psychology'
 'relation to electronic music and computer music'
 'electronic music and computer music' 'Keller, David R.' 'writings'
 'ecology' 'applied to electronic music and computer music'
 'Barrett, Gary']"
5389,"['ecology' 'soundscape ecology' 'Krause, Bernard L. (Bernie)' 'sound art'
 'environmental sound sculptures' 'biophonies']"
5393,"['Crumb, George' 'works' '<Vox balaenae>' 'relation to whale songs'
 'animals' 'whales' 'whale songs'
 'relation to George Crumb <Vox balaenae>' 'ecology' 'ecological politics'
 '1960s-70s whaling ban and conservation' 'politics'
 'analyses--by composer' 'pitch-class collections']"
5406,"['sound art' 'environmental sound art' 'Monacchi, David'
 'Fragments of Extinction' 'equatorial rainforests' 'ecology'
 'ecoacoustics' 'nature']"
5418,"['pedagogy--general' 'curriculum' 'ecological literacy' 'ecology'
 'eco-literate music pedagogy' 'soundscape' 'soundscape education'
 'creative process' 'songwriting' 'songwriting pedagogy'
 'singing--general' 'vocal pedagogy']"
5430,"['environment' 'ecomusicology' 'periodicals' '<19th-century music>, XLV/1'
 'ecology']"
5431,"['musicology' 'musicology as discipline' 'ecomusicology' '19th c.'
 'ecology' 'aesthetics' 'aesthetics of music' 'ecology of music']"
5454,"['minority studies' 'revivalism' 'influenced by ecological threats'
 'Malaysia' 'Sarawak' 'Lahanan people' 'traditional music' 'ceremonies'
 'Indonesia' 'Sumatera Utara' 'tunggal panaluan' 'culture' 'Sámi studies'
 'ecology' 'influence on revivalism']"
5481,"['Finland' 'history of music' 'ecology' '20th-21st-c. music'
 'twentieth-century music' 'twenty-first-century music']"
5483,"['Finland' 'musical life' 'festivals' 'ecology' 'early 21st c.'
 'Savonlinna']"
